호선,역번호,역      명,계,일평균,1월,2월,3월,4월,5월,6월,7월,,
7,2713,수락산,2972842,14052,416688,362460,442996,439977,457439,423781,429501,,
7,2714,마들,2618451,12353,370476,318896,383181,391816,405016,366422,382644,,
7,2715,노원(7),4575590,21557,663383,576684,671654,659558,695519,634981,673811,,
7,2716,중계,3434144,16196,478340,407961,504355,522411,536569,481753,502755,,
7,2717,하계,4219503,19954,591459,509345,628398,637647,657962,586906,607786,,
7,2718,공릉,2807257,13315,376192,328236,434896,427908,451707,391106,397212,,
7,2719,태릉입구(7),2003126,9560,257033,222920,301615,304962,358726,285143,272727,,
7,2720,먹골,2301891,10913,332625,285531,337678,338657,361030,319723,326647,,
7,2721,중화,2512348,11887,355215,305716,367180,373093,399985,350283,360876,,
7,2722,상봉(7),3758018,17732,537245,467105,556971,550861,569726,527627,548483,,
7,2723,면목,3486295,16568,472772,410704,530032,541805,551385,492083,487514,,
7,2724,사가정,3484531,16483,491030,427548,517317,520591,537396,489534,501115,,
7,2725,용마산,1365890,6451,193254,165799,202161,204396,210694,191255,198331,,
7,2726,중곡,2207070,10390,311843,267838,325326,327652,336359,311497,326555,,
7,2727,군자(7),3226854,15209,467494,395912,476368,478118,485267,449742,473953,,
7,2728,어린이대공원,3348192,16309,388110,337775,541081,589171,619872,475966,396217,,
7,2729,건대입구(7),3520977,16710,494491,427632,544283,520335,544550,493188,496498,,
7,2730,뚝섬유원지,2034491,9618,221646,197157,253751,321817,428270,318229,293621,,
7,2731,청담,4160524,19581,609896,502932,607047,623162,628303,572905,616279,,
7,2732,강남구청,3162219,14872,464977,380213,463072,469907,475951,437689,470410,,
7,2733,학동,4429665,20798,666843,532712,643657,659909,659841,601459,665244,,
7,2734,논현,4039806,18929,605635,490224,582249,593976,600605,553456,613661,,
7,2735,반포,1418639,6686,197733,170380,208106,210719,220659,202558,208484,,
7,2736,고속터미널(7),4504033,21320,654755,606718,651118,643848,676534,626028,645032,,
7,2737,내방,2989461,14076,436289,358946,436516,448046,456746,411195,441723,,
7,2738,이수(7),3645013,17139,527381,446677,534283,530730,548209,514814,542919,,
7,2739,남성,2546757,12027,361400,306242,380311,382133,390307,356446,369918,,
7,2740,숭실대입구,3268525,15772,414768,344211,542214,546106,552125,455269,413832,,
7,2741,상도,2530652,11990,332324,284585,390827,391312,407624,363581,360399,,
7,2742,장승배기,2365002,11153,341929,291451,349140,351127,356063,328956,346336,,
7,2743,신대방삼거리,3647366,17196,522442,442031,537991,546524,554102,509387,534889,,
7,2744,보라매,2080025,9803,291368,245411,305735,315042,324345,292485,305639,,
7,2745,신풍,2564406,12093,360803,308491,378633,382547,393707,364715,375510,,
7,2746,대림(7),2296345,10897,329089,301631,348971,335348,343873,313481,323952,,
7,2747,남구로,3434308,16176,502548,422897,505510,511588,512823,472426,506516,,
7,2748,가산디지털단지(7),8491101,39841,1285736,1049287,1226964,1261009,1255777,1132392,1279936,,
7,2749,철산,5161353,24368,734272,632037,762344,770400,791470,720061,750769,,
7,2750,광명사거리,5678744,26885,816506,708968,843810,846422,860406,790061,812571,,
7,2751,천왕,2027453,9486,276507,237346,291567,303516,315852,292217,310448,,
7,2752,온수(7),2317731,10975,308963,263123,353093,367154,365746,328362,331290,,
7,2753,까치울,1649179,7787,222388,191607,238764,255910,261887,238874,239749,,
7,2754,부천종합운동장,1132918,5397,150462,129404,161591,211293,170712,153309,156147,,
7,2755,춘의,1947630,9175,281872,238208,280848,294427,293397,271978,286900,,
7,2756,신중동,3178610,14994,459445,391801,465000,472593,483591,441537,464643,,
7,2757,부천시청,2758542,12952,394871,344161,400593,399355,415863,389467,414232,,
7,2758,상동,3145739,14858,455368,392804,466849,465251,472281,436834,456352,,
7,2759,삼산체육관,1182243,5549,163464,138561,168756,184667,182355,166531,177909,,
7,2760,굴포천,1992521,9401,287677,247294,292179,293838,301033,279606,290894,,
7,2761,부평구청(7),2547121,12000,363409,306881,373447,383582,388669,355939,375194,,
8,2811,암사,4018377,18948,581667,493291,589247,598002,607394,559905,588871,,
8,2812,천호(8),3951431,18685,578596,494072,586685,583897,592480,546333,569368,,
8,2813,강동구청,2247589,10574,331810,275428,327182,330604,337874,311036,333655,,
8,2814,몽촌토성,1351404,6474,194089,160097,194863,204038,235073,183639,179605,,
8,2815,잠실(8),3425473,16140,491523,437718,496705,523264,505235,466922,504106,,
8,2816,석촌(8),1739057,8212,254235,213254,253004,264809,263919,237194,252642,,
8,2817,송파,1885058,8693,188445,188594,275759,302864,321058,296630,311708,,
8,2818,가락시장(8),1686081,7973,254503,208527,249526,249194,249725,231684,242922,,
8,2819,문정,3952376,18513,583939,472885,570768,594764,588568,539987,601465,,
8,2820,장지,4065458,19169,581866,498986,602314,598510,617663,570250,595869,,
8,2821,복정(8),2478579,11786,342389,284818,380188,388968,387341,349514,345361,,
8,2822,산성,1258996,5962,170870,146671,188713,192404,197733,182816,179789,,
8,2823,남한산성입구,3067061,14593,415681,353119,469094,480970,491475,430978,425744,,
8,2824,단대오거리,2405106,11440,333332,285573,365127,369788,382502,334260,334524,,
8,2825,신흥,1036717,4867,146978,127152,150033,150148,158554,147999,155853,,
8,2826,수진,1210442,5692,172672,147491,176598,175461,185556,172482,180182,,
8,2827,모란(8),1052252,4984,148875,124305,156572,158580,165246,148523,150151,,
9,4126,언주,1848238,8618,280003,227141,264314,270575,266195,251678,288332,,
9,4127,선정릉,1726876,8062,249093,206396,248595,257810,258673,238578,267731,,
9,4128,삼성중앙,1185948,5536,174046,142183,170907,176694,176182,161976,183960,,
9,4129,봉은사,3679932,17000,504813,428288,524278,532717,571409,515437,602990,,
9,4130,종합운동장(9),1004080,4720,140158,119599,151586,146628,156786,139616,149707,,
9,4131,삼전,1074862,4996,142940,126960,156203,156724,164775,156635,170625,,
9,4132,석촌고분,961357,4459,124145,111835,138297,142973,149357,140388,154362,,
9,4133,석촌(9),1302108,6030,158663,144786,182017,200991,209873,195038,210740,,
9,4134,송파나루,756804,3516,98671,88355,108543,115185,117178,108491,120381,,
9,4135,한성백제,433921,2026,56374,48386,59066,63609,75589,63651,67246,,
9,4136,올림픽공원(9),1446823,6649,169608,141431,202411,206107,242493,241389,243384,,
9,4137,둔촌오륜,193375,897,22129,20580,29271,30522,30628,29461,30784,,
9,4138,중앙보훈병원,1420042,6556,183771,160420,196491,213102,222625,210157,233476,,
